CANDIDATES.2019, SEATS.2019, VOTES.2019, VOTES.PERCENT.2019, SEATS.2016, VOTES.2016, VOTES.PERCENT.2016, CANDIDATES.2016
RED, 123, 7480755, 28.68, 85, 5443846, 22.63, RED
BLUE, 66, 4356023, 16.70, 137, 7941236, 33.01, BLUE
ORANGE, 57, 4136600, 15.86, 32, 3141570, 13.06, ORANGE
PURPLE, 35, 3118191, 11.95, 45, 3227123, 13.42, PURPLE
GREEN, 24, 2677173, 10.26, 0, 47182, 0.20, GREEN
YELLOW, 15, 1015355, 3.89, 9, 632234, 2.63, YELLOW
VIOLET, 7, 61474, 2.36, 12, 853102, 3.55, VIOLET
TURQUOISE, 7, 497638, 1.91, NA, NA, NA, NA
BROWN, 6, 394627, 1.51, 5, 287014, 1.19, BROWN
LIGHTGREEN, 4, 25884, 0.99, 2, 184713, 0.77, LIGHTGREEN
WHITE, 2, 137196, 0.53, 1, 78253, 0.33, WHITE
MAROON, 2, 107124, 0.41, NA, NA, NA, NA
PINK, 1, 172751, 0.66, NA, NA, NA, NA
